# SPEC §7.5 shard assignment — the WITNESS for the partition rule.
#
#   shard(h, p, n) = first_64_bits(SHA-256(h ++ "#" ++ decimal(p))) mod n
#
# `h` is the 64-char LOWERCASE HEX spelling, not the 32 bytes it denotes;
# the separator is one '#'; decimal(p) is base ten, no padding, no sign;
# first_64_bits is the digest's leading 8 bytes big-endian.
#
# n=1 is the unsharded verifier and is 0 throughout — the only column whose
# correct value is known without computing a digest, and so the one that
# catches a file regenerated from a broken rule.
#
# name	hash	prop	n=1	n=2	n=3	n=7	n=8	n=32	n=100
rat-recover	c5647f27f6693b674191800dbb4d74deda6eb6569eb88fc4e012b7a071b333cf	0	0	0	0	1	4	20	92
record-field	d7f4757624895cf6131ab1138c8e010d64f50f5ae1aa99fdd25698305e6b468e	0	0	1	0	6	7	31	63
record-field	d7f4757624895cf6131ab1138c8e010d64f50f5ae1aa99fdd25698305e6b468e	1	0	1	2	0	5	13	53
record-field	d7f4757624895cf6131ab1138c8e010d64f50f5ae1aa99fdd25698305e6b468e	2	0	1	1	1	1	9	53
record-field	d7f4757624895cf6131ab1138c8e010d64f50f5ae1aa99fdd25698305e6b468e	3	0	0	1	6	0	24	32
record-is-well-formed	68e180cd139d042d6242c74169d132be174eb336f9cc1ca96730fe0a84726c62	0	0	1	1	6	5	13	53
record-is-well-formed	68e180cd139d042d6242c74169d132be174eb336f9cc1ca96730fe0a84726c62	1	0	0	0	6	4	12	80
record-is-well-formed	68e180cd139d042d6242c74169d132be174eb336f9cc1ca96730fe0a84726c62	2	0	1	0	3	7	7	27
record-is-well-formed	68e180cd139d042d6242c74169d132be174eb336f9cc1ca96730fe0a84726c62	3	0	1	1	6	7	31	7
record-under	2bed447f1a3e248f31d2c01b306712292a75e147a1d08e146818e23ff835721b	0	0	1	0	5	1	1	17
record-under	2bed447f1a3e248f31d2c01b306712292a75e147a1d08e146818e23ff835721b	1	0	1	2	0	7	31	75
record-under	2bed447f1a3e248f31d2c01b306712292a75e147a1d08e146818e23ff835721b	2	0	0	2	3	6	30	78
rename-key	be82b31a32c1e1ba3e9236525b1139d61068e3013101f6dea0ade0e07bb3bf9b	0	0	0	2	1	4	20	68
rename-key	be82b31a32c1e1ba3e9236525b1139d61068e3013101f6dea0ade0e07bb3bf9b	1	0	0	1	5	2	18	86
replicate	3fb40b27e9dc71b801b90b25a8dca147bc2e7e35ac9f7c6340972720c45377c4	0	0	1	1	2	3	3	27
replicate	3fb40b27e9dc71b801b90b25a8dca147bc2e7e35ac9f7c6340972720c45377c4	1	0	1	2	5	5	21	49
replicate	3fb40b27e9dc71b801b90b25a8dca147bc2e7e35ac9f7c6340972720c45377c4	2	0	0	0	4	2	26	22
req-body	55607d7d56085cd9d4ea0ac3c627989656b8425eff0449bffa4f3b16ffdec769	0	0	0	2	6	0	0	36
req-headers	11e9cdb9a695187157648934e6eb576d55dff98d64cac1c578938eb255123760	0	0	0	1	5	6	14	70
req-method	b0c4a59b92c4e2bc55ef68d8ebc612e36f8201a5f1088e415688f27e6f355e3a	0	0	0	2	5	6	30	54
req-path	eadb605e522cbb0957d9a438631dab0b2539d2b01620c0a377965d0d5e3a438d	0	0	0	1	3	4	20	84
req-received-at	ea71fc7b5412f4bd1c0bdf8b92c4eb5ec48a5fe497bd4cc83646064fd8c35449	0	0	1	0	2	7	31	95
reverse	7bb6285884d068b0a885094b4b4090b80e85054cdb36ce805ad1918ab1a94365	0	0	0	1	6	4	4	24
reverse	7bb6285884d068b0a885094b4b4090b80e85054cdb36ce805ad1918ab1a94365	1	0	0	1	2	6	14	94
reverse-onto	cb57f3242430a32ad315d93ff649d100b94b322156d21d95f7c098c1fe314ac8	0	0	1	2	5	3	11	3
reverse-onto	cb57f3242430a32ad315d93ff649d100b94b322156d21d95f7c098c1fe314ac8	1	0	1	2	1	5	21	73
reverse-onto	cb57f3242430a32ad315d93ff649d100b94b322156d21d95f7c098c1fe314ac8	2	0	1	0	6	5	5	81
rle-decode	27a8605b1e122a7fd485d0044e4465033452ae30d0e4227a326b6948196e66e2	0	0	1	1	3	5	13	13
rle-decode	27a8605b1e122a7fd485d0044e4465033452ae30d0e4227a326b6948196e66e2	1	0	1	1	0	1	1	89
rle-decode	27a8605b1e122a7fd485d0044e4465033452ae30d0e4227a326b6948196e66e2	2	0	0	0	3	2	10	46
rle-decode	27a8605b1e122a7fd485d0044e4465033452ae30d0e4227a326b6948196e66e2	3	0	1	2	2	7	23	59
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	0	0	0	1	4	2	26	90
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	1	0	0	1	4	2	26	82
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	2	0	0	0	0	2	2	50
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	3	0	0	2	4	0	24	88
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	4	0	0	2	3	4	28	76
rle-encode	253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2	5	0	0	2	3	6	6	14
rle-expand	36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46	0	0	0	1	2	4	4	76
rle-expand	36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46	1	0	1	0	0	7	31	7
rle-expand	36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46	2	0	0	1	6	4	28	12
rle-expand	36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46	3	0	1	1	0	5	5	21
rle-expand	36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46	4	0	1	1	2	7	15	51
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	0	0	1	0	2	5	29	13
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	1	0	0	0	0	4	12	24
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	2	0	1	1	2	1	25	69
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	3	0	0	0	0	2	10	10
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	4	0	0	0	5	0	0	64
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	5	0	1	0	0	5	21	49
rot	e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36	6	0	1	1	1	5	5	61
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	0	0	1	1	0	5	5	57
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	1	0	0	1	1	6	6	2
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	2	0	0	0	0	2	2	34
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	3	0	1	1	3	3	19	63
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	4	0	1	0	6	5	5	37
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	5	0	1	1	4	7	7	39
rot-h2	48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e	6	0	1	1	0	5	5	21
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	0	0	1	1	4	7	31	35
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	1	0	0	1	6	0	16	96
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	2	0	1	1	4	3	3	31
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	3	0	1	2	2	1	17	85
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	4	0	1	0	2	7	23	7
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	5	0	0	2	4	6	6	50
rot-h3	18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f	6	0	1	2	3	5	29	21
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	0	0	0	0	0	6	30	90
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	1	0	0	2	5	0	24	12
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	2	0	0	1	5	0	24	8
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	3	0	0	1	4	4	12	52
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	4	0	0	0	3	2	26	22
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	5	0	0	0	4	4	20	16
rot-hl	e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64	6	0	0	1	0	0	24	96
safe-get	24800a6a905856b7146a7cca2d2dccb012ee8e24b9283eee9e5ac0c65c2af69b	0	0	1	0	5	3	11	87
safe-get	24800a6a905856b7146a7cca2d2dccb012ee8e24b9283eee9e5ac0c65c2af69b	1	0	0	0	5	2	10	54
secret-is-usable	5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c	0	0	1	2	0	3	11	71
secret-is-usable	5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c	1	0	0	1	4	6	22	10
secret-is-usable	5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c	2	0	1	1	2	3	27	35
secret-is-usable	5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c	3	0	1	0	3	1	25	89
secret-is-usable	5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c	4	0	0	0	2	6	22	14
set-add	874a3cb5d3f63c551b6e0d4365d489bf75f2528c4d79750ffd1d3b1fdd534ae1	0	0	1	0	4	7	7	31
set-add	874a3cb5d3f63c551b6e0d4365d489bf75f2528c4d79750ffd1d3b1fdd534ae1	1	0	1	2	1	1	1	9
set-elems	a91bbcd741e2d02c1ee55c56e227f73e6a30e3fd4247fd6beaad3d2d682672b6	0	0	1	1	5	3	11	59
set-empty	d067aca7a83d4107c90d6aaa23befbbcc874df4ceaae0b1d984e3a5508d29efa	0	0	1	1	3	7	7	43
set-inter	8a059a2f7b565ec35c0791b90ee564d8d955c811af4ec9dc119a4c83c04f1dd5	0	0	0	2	4	2	2	70
set-member	00b50eb902ce941a92b0600f4654a1899e41fd4632ed06e55a6a07b7eb791717	0	0	1	2	2	5	13	53
set-size	c73b49a04d37c25cd74d7925066d12b186768a6bfb80f5bd85278eb53455b768	0	0	1	2	6	3	3	79
set-union	c2b36fe5954378a1a2a625891c8109f6ce07f1d669534c22da2f7dbc9f53d56d	0	0	0	0	1	2	26	70
set-union	c2b36fe5954378a1a2a625891c8109f6ce07f1d669534c22da2f7dbc9f53d56d	1	0	0	2	5	0	16	4
shout	1788554af98ab90ff6c471078cb9dc933fc04aff3e0583abd7ff829fb77240d2	0	0	0	0	2	6	22	42
shout	1788554af98ab90ff6c471078cb9dc933fc04aff3e0583abd7ff829fb77240d2	1	0	1	2	3	7	7	39
show-int	a9472d7aa2146acc2f37afbefdd8b098fa92322d59355e243451cf547e107104	0	0	1	2	6	1	17	33
show-nat	1d0a9ecfb0eab9baa4782839fac41b93f9490d6ac98cc04d3001555cc97e108c	0	0	1	1	3	7	31	31
si-insert	e3ba3eec0cbaff18df44b161661a87b9344eed6707ced3888521204d51af261d	0	0	0	2	3	6	22	38
si-insert	e3ba3eec0cbaff18df44b161661a87b9344eed6707ced3888521204d51af261d	1	0	0	1	4	0	0	28
si-insert	e3ba3eec0cbaff18df44b161661a87b9344eed6707ced3888521204d51af261d	2	0	0	1	2	2	26	6
si-inter	32765987195d3d2bf13db7f11a24f10203201a533ccad13b612e75b31ae269a5	0	0	1	0	2	3	19	27
si-member	47e842f8daf5ed6da1fb0203df5a4b5cf6078e464321f440cff08323ac5004ef	0	0	0	2	1	2	10	22
si-union	63f8d391e13d8c3baa6a59d5e70a7a9dd27d3394e1bd61d704b3ae282b6a960a	0	0	0	1	5	0	0	92
sign	7c0ff56ae894d5f8c7d8b3b92a2ba31a080e1feec71521aaec4e8e2b66fa5fcc	0	0	0	0	1	6	14	62
sign	7c0ff56ae894d5f8c7d8b3b92a2ba31a080e1feec71521aaec4e8e2b66fa5fcc	1	0	1	0	0	3	3	63
singleton	14b8a3dd9719a29e458cb3ba2c884be6523f950216e7cb68373546a4fe60ea1a	0	0	1	0	2	3	27	47
singleton	14b8a3dd9719a29e458cb3ba2c884be6523f950216e7cb68373546a4fe60ea1a	1	0	1	1	1	1	25	61
smi-insert	0909cbe247797773f04949fcbf77d4916998e956160c997c09804da436806999	0	0	0	1	6	4	20	92
smi-keys	759837d793af563901c7f42afc82ed06b5ace80e4ecb506f11349742a16502fb	0	0	0	1	5	6	22	50
smi-lookup	3e9a0bd29ca905234579d0fb1ed014e10e8374fea4c98fbad036f5ce7e5dfebd	0	0	1	0	3	5	5	5
smi-merge	7bde501d14a226350cdf4ffbfbcb7e8be3da359ddd553163a74bbd07a6784587	0	0	1	1	4	3	3	11
smi-values	17328a7892c9322c7041fe3678f8b07d1afe2b1c9c1e56b272d40cb556be623b	0	0	1	0	3	7	15	59
snoc	2248e151c30adcaa8c23ce5a9ba21fc8cd53f36454b1b5afe4762c96dfc8e9a6	0	0	0	1	3	2	10	98
snoc	2248e151c30adcaa8c23ce5a9ba21fc8cd53f36454b1b5afe4762c96dfc8e9a6	1	0	1	0	3	7	7	7
snoc	2248e151c30adcaa8c23ce5a9ba21fc8cd53f36454b1b5afe4762c96dfc8e9a6	2	0	1	2	2	7	23	19
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	0	0	1	1	6	7	7	3
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	1	0	1	0	5	3	3	3
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	2	0	1	0	0	7	7	19
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	3	0	0	0	0	4	20	24
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	4	0	0	2	1	0	16	84
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	5	0	0	0	2	2	18	90
sort	8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760	6	0	1	1	5	5	21	81
sort-by	5179ba32bb8df3c1b966c9f3b6c0c7c14a1de369b8fccc87e33fd4361eb168f3	0	0	1	1	1	7	15	31
sort-by	5179ba32bb8df3c1b966c9f3b6c0c7c14a1de369b8fccc87e33fd4361eb168f3	1	0	1	0	3	7	31	43
sort-by	5179ba32bb8df3c1b966c9f3b6c0c7c14a1de369b8fccc87e33fd4361eb168f3	2	0	0	1	2	6	22	18
spin	086cb1f933536eadf637402bd14bed014b55818b9994a8bda60683d80036c571	0	0	1	2	4	5	13	93
str-append	7d158d0455d341a46cfcc678cfd41d35db89b574dc45158746ad922b8874e3a4	0	0	0	2	0	6	22	50
str-append	7d158d0455d341a46cfcc678cfd41d35db89b574dc45158746ad922b8874e3a4	1	0	0	1	1	0	0	84
str-bytes	cc13f713e3013bc87368150870fbcfe756ebe620af961be48131b6d38767d9ca	0	0	0	1	3	6	6	98
str-bytes	cc13f713e3013bc87368150870fbcfe756ebe620af961be48131b6d38767d9ca	1	0	0	2	3	2	10	26
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	0	0	0	2	2	6	6	22
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	1	0	1	0	6	7	23	43
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	2	0	0	0	4	2	18	30
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	3	0	0	2	6	4	4	44
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	4	0	1	0	1	3	19	79
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	5	0	1	1	5	7	23	23
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	6	0	1	1	1	7	23	7
str-code	11cfe6a203105f28eab3960b370c70cf8dacc3d5f4feb870ba94ec73a9f5edcb	7	0	1	2	3	3	27	51
str-drop	caaaa5b2134ad2be30ca74ec4d480e6d7a8e5889c63800643ae1c89618684a3d	0	0	0	1	5	2	2	82
str-drop	caaaa5b2134ad2be30ca74ec4d480e6d7a8e5889c63800643ae1c89618684a3d	1	0	1	2	5	7	23	3
str-eq	780dcca70c1334783ed6d71fd35180990eb65e3aefc707c8d08795fa3e5fa094	0	0	0	0	2	6	22	62
str-join	b41104b62aae86b49c4644688f01ac9e2d56c36f475b8b304b834f3804467f8b	0	0	1	1	5	3	27	63
str-len	30df3863fbb189976a0d624ec7697a62cfaf940554ae436027eea19c4cdfbc5e	0	0	1	1	2	1	1	89
str-lt	7663d6a3c2272fc403113cb861fea8cf3dadca0779b17d1f5e5cbe3d50919519	0	0	1	2	2	7	15	75
str-map-empty	833a4f5fb6a9c0b0d470f832e8e8594ea1785477127c0dfc40da390d26dc7b64	0	0	0	0	1	0	16	92
str-map-has	df41274ad5fc6b35fe839c1bbfc2333c2ad8e8a9be94a608eb479b58a2c7c2c2	0	0	0	1	4	6	14	46
str-map-insert	045a5eadc8cab60e95cf219f60f88c1769d32f779e0331dcd3941c3610e14b93	0	0	0	1	1	6	30	38
str-map-lookup	81ccf1d0ccd21ab306cb1e6d223794d8e86df662a30e3852cd55b13307aa38c8	0	0	1	2	1	1	9	65
str-map-merge	0320f2f589519eca225768f085a6d0e16aa0b39379615ee91102c1eb256ca1af	0	0	0	0	5	4	28	8
str-map-size	0ee52d97a1d15277301107b83176df1ccfb01a9f267731e0776343f94697a2bc	0	0	0	0	6	6	30	90
str-nub	16d57ea2081f98743a73ac913eb8939c9cdb90de88fdf9695badd6e914b754fc	0	0	0	2	5	2	2	10
str-nub	16d57ea2081f98743a73ac913eb8939c9cdb90de88fdf9695badd6e914b754fc	1	0	0	2	0	6	6	14
str-nub	16d57ea2081f98743a73ac913eb8939c9cdb90de88fdf9695badd6e914b754fc	2	0	1	1	4	3	3	39
str-nub	16d57ea2081f98743a73ac913eb8939c9cdb90de88fdf9695badd6e914b754fc	3	0	0	0	0	4	28	8
str-nub	16d57ea2081f98743a73ac913eb8939c9cdb90de88fdf9695badd6e914b754fc	4	0	1	0	1	7	15	35
str-pad-left	ce94c1da7a9cc50d0c0050227eac0dae8e34d68295bd53bf2c2ee6ecd20691a1	0	0	1	2	3	7	31	19
str-pad-left	ce94c1da7a9cc50d0c0050227eac0dae8e34d68295bd53bf2c2ee6ecd20691a1	1	0	1	2	3	7	23	11
str-pad-left	ce94c1da7a9cc50d0c0050227eac0dae8e34d68295bd53bf2c2ee6ecd20691a1	2	0	0	0	4	4	12	32
str-pad-left	ce94c1da7a9cc50d0c0050227eac0dae8e34d68295bd53bf2c2ee6ecd20691a1	3	0	1	1	5	7	23	3
str-pad-left	ce94c1da7a9cc50d0c0050227eac0dae8e34d68295bd53bf2c2ee6ecd20691a1	4	0	0	1	5	0	8	80
str-prefix	48d690bda44bf44999028860eeaef6e85f237170f52bbf5cd39881b2eabd6080	0	0	1	1	5	3	19	63
str-prefix	48d690bda44bf44999028860eeaef6e85f237170f52bbf5cd39881b2eabd6080	1	0	0	2	2	6	6	94
str-prefix	48d690bda44bf44999028860eeaef6e85f237170f52bbf5cd39881b2eabd6080	2	0	0	2	0	6	14	42
str-scalars	47093590174ac96e5f9dc709b3783e92a3fb3e2c0bf443e79dcedadef0de3cc8	0	0	1	1	5	1	1	21
str-scalars	47093590174ac96e5f9dc709b3783e92a3fb3e2c0bf443e79dcedadef0de3cc8	1	0	0	0	1	0	16	72
str-scalars	47093590174ac96e5f9dc709b3783e92a3fb3e2c0bf443e79dcedadef0de3cc8	2	0	1	2	4	1	9	29
str-scalars	47093590174ac96e5f9dc709b3783e92a3fb3e2c0bf443e79dcedadef0de3cc8	3	0	1	2	6	1	17	57
str-scalars	47093590174ac96e5f9dc709b3783e92a3fb3e2c0bf443e79dcedadef0de3cc8	4	0	1	2	5	3	27	7
str-spaces	2e37d30753bb5443fa3269532b8d94e46e695938ef529141210208af5cd5fe7e	0	0	0	0	1	0	8	32
str-spaces	2e37d30753bb5443fa3269532b8d94e46e695938ef529141210208af5cd5fe7e	1	0	1	1	6	3	11	51
str-spaces	2e37d30753bb5443fa3269532b8d94e46e695938ef529141210208af5cd5fe7e	2	0	0	1	4	4	20	40
str-spaces	2e37d30753bb5443fa3269532b8d94e46e695938ef529141210208af5cd5fe7e	3	0	1	0	3	3	19	43
str-split	0292b5f64eddbe8fd710966d45408e22164a5ab419e8f3055c36c149033569cf	0	0	0	1	6	6	14	78
str-split-join	f3a62459d59a9a242fd1bc3aecb60455ea9deddf7d652419889d9be7d961f36e	0	0	0	0	5	2	10	38
str-take	77452b35b089d93e5c76c4fbf423527316a03c6716c731ec1bfa998c36eef091	0	0	0	2	1	0	24	52
sum	25f8a4de0cc7ea04a1b0b5dcc02690e8ea8eef0d44af6604f9ce2923d6f7085a	0	0	0	2	5	6	14	74
sum	25f8a4de0cc7ea04a1b0b5dcc02690e8ea8eef0d44af6604f9ce2923d6f7085a	1	0	1	1	0	7	7	63
swap	b00e9f7d7c2d30c50f40005d5ec58a8c19fc7c667f1c3b598752285b16387fe3	0	0	0	0	1	4	4	76
t-flatten	a431dd53a6b3abf6af360722bd9afc37f6bdb670a513f88c218a15ea5cc6a597	0	0	1	0	0	1	1	9
t-flatten	a431dd53a6b3abf6af360722bd9afc37f6bdb670a513f88c218a15ea5cc6a597	1	0	0	2	1	0	0	32
t-flatten	a431dd53a6b3abf6af360722bd9afc37f6bdb670a513f88c218a15ea5cc6a597	2	0	1	0	0	7	15	19
t-insert	312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd	0	0	1	0	1	3	19	67
t-insert	312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd	1	0	1	0	2	5	21	33
t-insert	312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd	2	0	0	2	1	6	22	14
t-insert	312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd	3	0	1	2	2	5	21	69
t-insert	312101f6dfd4a4aecf341d92d861d1c08755e72701c5f9b1a929b8d974a6adbd	4	0	1	2	3	7	31	43
t-member	2b71f64d6f4d161d5eb82f6f275f43791148026378cd1fba0e7436d22ac78925	0	0	1	2	4	7	7	23
t-member	2b71f64d6f4d161d5eb82f6f275f43791148026378cd1fba0e7436d22ac78925	1	0	0	1	5	4	4	72
t-member	2b71f64d6f4d161d5eb82f6f275f43791148026378cd1fba0e7436d22ac78925	2	0	0	0	5	2	2	74
t-member	2b71f64d6f4d161d5eb82f6f275f43791148026378cd1fba0e7436d22ac78925	3	0	1	0	3	3	19	3
t-size	1fc6a47774e2bd036f080ebba273dc29cc592b7af762b2a8cc0df810fe249ddf	0	0	1	0	1	7	15	79
t-size	1fc6a47774e2bd036f080ebba273dc29cc592b7af762b2a8cc0df810fe249ddf	1	0	0	2	2	2	10	62
t-size	1fc6a47774e2bd036f080ebba273dc29cc592b7af762b2a8cc0df810fe249ddf	2	0	0	1	1	4	20	36
t-size	1fc6a47774e2bd036f080ebba273dc29cc592b7af762b2a8cc0df810fe249ddf	3	0	0	1	1	4	12	36
take	1cca17c6d090a186ea837405687e938f7669f53b2be874e4aaded470a015577e	0	0	1	0	3	1	1	29
take	1cca17c6d090a186ea837405687e938f7669f53b2be874e4aaded470a015577e	1	0	0	0	6	4	20	92
take	1cca17c6d090a186ea837405687e938f7669f53b2be874e4aaded470a015577e	2	0	1	2	3	1	25	33
take	1cca17c6d090a186ea837405687e938f7669f53b2be874e4aaded470a015577e	3	0	0	1	5	0	24	56
take-while	0160610e8287758f43ba2ab3e28000023fe591dd8d8114fac248843c55592764	0	0	1	1	6	7	7	11
take-while	0160610e8287758f43ba2ab3e28000023fe591dd8d8114fac248843c55592764	1	0	0	1	0	0	8	16
tenth-f	8fd0dda446661476e93adbcb0fd6ae4f326624746df628bed7bc6370b089f4f6	0	0	1	1	5	7	15	23
third-f	8364dad02bbc6fcb767defa0c468c4c9f363bc99ae13bb48357db0c736486c3a	0	0	0	0	5	0	16	92
unwrap-or	19d25f94f919f5fa214487f020fbf665989f7a75d0556222aad8c6c94b3f4e44	0	0	0	1	3	0	0	56
unwrap-or	19d25f94f919f5fa214487f020fbf665989f7a75d0556222aad8c6c94b3f4e44	1	0	0	2	4	4	28	96
webhook	04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb	0	0	1	0	6	3	3	59
webhook	04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb	1	0	0	0	3	2	26	30
webhook	04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb	2	0	1	0	5	7	23	23
webhook	04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb	3	0	1	0	5	7	7	83
webhook	04241aba6e93a75091d40ffd20412ad6f0b91439b9fa1e547f85eec9101ffbdb	4	0	0	0	3	6	30	78
within-window	b83924f8160e0a11d033dbad799627ca5a4be7b5803d939d82304d5025e91fdb	0	0	1	1	6	7	23	83
within-window	b83924f8160e0a11d033dbad799627ca5a4be7b5803d939d82304d5025e91fdb	1	0	1	1	2	7	31	47
within-window	b83924f8160e0a11d033dbad799627ca5a4be7b5803d939d82304d5025e91fdb	2	0	0	2	4	2	2	6
zip	8994f7a68c09274971e798d47ccfe1bbe287b1b8c66a6fc0f4221f49f93cb6f5	0	0	1	1	3	7	31	3
zip	8994f7a68c09274971e798d47ccfe1bbe287b1b8c66a6fc0f4221f49f93cb6f5	1	0	0	0	1	2	10	86
zip	8994f7a68c09274971e798d47ccfe1bbe287b1b8c66a6fc0f4221f49f93cb6f5	2	0	1	0	6	3	11	39
zip-with	d55d85255312c199535c3ac5023f77b2b10f6aabdea2bd11cd4c530cf3c644ac	0	0	1	1	5	1	1	21
zip-with	d55d85255312c199535c3ac5023f77b2b10f6aabdea2bd11cd4c530cf3c644ac	1	0	1	1	1	5	29	93
zip-with	d55d85255312c199535c3ac5023f77b2b10f6aabdea2bd11cd4c530cf3c644ac	2	0	1	0	0	3	3	15
